广富林路1599弄、梅家浜路	三湘四季花城	242万元	136平米	2006
文翔路1099弄	文景苑	200万元	107平米	2007
明中路1010弄	万科白马花园别墅	450万元	225平米	2009
新镇街1058弄	海派青城	153万元	112平米	2008
荣乐中路18弄	谷水苑	146万元	96平米	2008
泗泾镇古楼路1198号	同润菲诗艾伦	145万元	74平米	2014
人民北路2908弄	龙湖好望山	435万元	205平米	2012
涞寅路106弄	奥林匹克花园二期	230万元	122平米	2006
古楼公路1858弄	新凯家园	155万元	98平米	2006
弘翔路51弄、虹翔路281弄	月亮河	480万元	210平米	2005
莘松路1288弄	绿洲香岛	285万元	150平米	2009
古楼公路1858弄	新凯家园	47万元	30平米	2006
滨湖路299弄	合众湖畔花园	470万元	212平米	2003
联阳路12弄3号	长亭雅居	50万元	67平米	2008
莘松路1288弄	绿洲香岛	250万元	160平米	2006
沪松公路2972弄	绿波景园	175万元	136平米	2010
明中路699弄	明中龙祥家园	345万元	190平米	2009
泗凤公路1718弄	新凯家园三期	85万元	71平米	2011
沪松公路1138号、涞亭北路	奥林匹克花园	176万元	92平米	2006
沪亭北路618弄	九城湖滨国际	142万元	66平米	2009
沪亭北路338弄	贝尚湾	280万元	117平米	2009
涞寅路658弄	绿庭尚城	180万元	89平米	2009
沪亭北路338弄	贝尚湾	155万元	73平米	2009
沪亭北路338弄	贝尚湾	255万元	117平米	2009
沪亭北路618弄	九城湖滨国际	188万元	101平米	2008
沪亭北路618弄	九城湖滨国际	185万元	97平米	2007
荣乐东路3弄	蓝天东区	150万元	110平米	2004
泗泾镇泗陈公路2弄	丽茵别墅	550万元	308平米	2003
文涵路737弄	上域逸庭苑	140万元	89平米	2011
九亭镇伴亭路888弄	象屿名城	160万元	87平米	2011
新桥镇新南街301弄	万宇阳光苑	88万元	64平米	2009
沪亭北路338弄	贝尚湾	300万元	112平米	2007
泗泾镇文化路256弄	大名公寓	73万元	65平米	2009
九亭镇沪亭北路900弄	金丰蓝庭	200万元	123平米	2006
新桥镇新南街301弄	万宇荣盛阳光苑	88万元	64平米	2009
沪亭北路618弄	九城湖滨国际	180万元	86平米	2006
涞寅路658弄	绿庭尚城	135万元	70平米	2008
新桥镇明中路1777弄	新弘国际城	130万元	89平米	2014
沪亭北路618弄	九城湖滨国际	140万元	58平米	2006
涞坊路333弄	知雅汇	185万元	110平米	2004
茜蒲路651弄	晨星小区	102万元	112平米	2000
沪亭北路618弄	九城湖滨国际	195万元	95平米	2009
涞寅路658弄	绿庭尚城	185万元	95平米	2010
沪亭北路338弄	贝尚湾	210万元	86平米	2009
沪亭北路338弄	贝尚湾	280万元	130平米	2009
涞坊路599弄	五洲云景花苑	260万元	124平米	2006
松江区思贤路1370弄	兰桥公寓北区	173万元	94平米	2000
新桥镇明中路1010弄、99	万科白马花园	478万元	212平米	2005
沪亭北路618弄	九城湖滨国际	200万元	100平米	2007
新松江路2218弄	久阳文华府邸	200万元	133平米	2008
新桥镇新南路1259弄	意墅家	400万元	229平米	2008
谷阳路1027弄	东明花苑	160万元	110平米	2006
新南路501弄	同润加州	168万元	108平米	2005
佘山国家旅游度假区辰花路51	纳米魔幻城	280万元	150平米	null
上海市松江区九新公路2335	雅鹿新苑	63万元	65平米	2004
泗泾镇泗陈公路388弄方泗公	云顶别墅	300万元	230平米	2004
莘松路1288弄	绿洲星俪苑	550万元	323平米	2002
明华路366弄	绿洲比华利花园	685万元	255平米	2006
长兴路98弄	协合海琴花园	160万元	117平米	2005
