中山西路2099弄近宜山路 金诚花园 525万元 114平米 2005
中山西路1698弄 明园小安桥二期 620万元 145平米 2005
中山西路2366弄 华鼎广场 410万元 137平米 2000
丰谷路315弄 丰谷路315弄小区 145万元 42平米 1998
丰谷路220弄 金龙花苑梅花园 130万元 43平米 1999
丰谷路205弄128号 丰谷路205弄 215万元 66平米 1998
华济路51弄(近龙吴路) 旭辉朗香郡 500万元 136平米 2010
华济路38弄 沙家浜小区 105万元 43平米 2005
上海徐汇肇嘉浜路243弄 嘉瑞花苑 450万元 116平米 2001
喜泰北路黄石路 龙南六村 198万元 72平米 1998
南丹东路223号 莱诗邸 720万元 150平米 2005
南丹东路300弄、漕溪北路5 亚都国际名园 600万元 114平米 2003
南丹东路168弄 福源汇居 699万元 126平米 2006
南丹路377弄 徐汇中凯城市之光 1600万元 262平米 2012
南丹路333弄、宜山路50弄 南丹小区 295万元 56平米 1990
南丹东路228弄 金轩大厦 375万元 112平米 1997
南丹东路99弄 天际花园 780万元 177平米 2001
南丹路138弄 明华苑 580万元 110平米 2001
南丹路189号 南虹公寓 470万元 94平米 1999
南丹路128弄 南丹路128弄小区 400万元 73平米 1993
南丹东路228弄5号 金轩公寓 410万元 114平米 1999
南丹东路99弄 天际花园三期 1120万元 179平米 2004
南丹路181号汇站街 南丹路181号 398万元 68平米 1993
南丹路368弄 汇贤雅居 350万元 55平米 2000
南丹路118号 光启公寓 380万元 98平米 2000
南丹东路99弄1-22号 天际花园二期 780万元 177平米 2003
南丹路150弄 锦南公寓 490万元 108平米 1998
宛平南路255弄 徐家汇花园 485万元 103平米 2014
宛平南路65弄 宛平南路65弄小区 300万元 78平米 1985
宛平南路龙华中路 保利西岸 1450万元 236平米 2015
宛平南路1441弄、凯滨路1 尚海湾豪庭 1890万元 265平米 2008
宛平南路1518号 百汇园 1050万元 174平米 2008
宛平南路255弄 徐家汇花园二期 580万元 140平米 2001
宛平南路788号 精文公寓 430万元 142平米 1997
宛平南路521号 恒昌花园 330万元 101平米 2001
宛平南路19弄 橡胶大楼 210万元 58平米 1991
宛平南路300弄 宛平南苑 490万元 115平米 2005
宛平南路388弄 海螺花园 360万元 95平米 1999
宛平南路420弄 佳安公寓 410万元 91平米 2014
宛平南路19弄近肇家浜路 橡胶小区 255万元 59平米 1993
宛平南路921弄 临江豪园 650万元 125平米 2007
宛平南路99弄 新汇公寓 600万元 138平米 1997
宛平南路658号 爱中爱华公寓 410万元 120平米 1998
宛平南路727号 东安四村 132万元 36平米 1975
宛平南路15号 宛南华侨新村 318万元 99平米 1997
宛平南路1188号 中信君廷 1185万元 200平米 2012
宛平南路255弄 徐家汇花园三期 655万元 156平米 2003
宛平南路1441弄、凯滨路1 恒盛尚海湾豪庭 1200万元 225平米 2008
宛平南路389弄近斜土路 辉煌公寓 600万元 186平米 null
宛平南路921弄 徐汇临江豪园 350万元 68平米 2007
宛平南路71弄 宛平南路71弄公房 288万元 60平米 1996
宛平南路268弄辛耕路 宛平南路268弄小区 220万元 50平米 1982
宛平南路99弄 新汇公寓(徐汇华庭) 580万元 148平米 1999
宛平南路240弄 宛平南路240弄小区 388万元 98平米 2000
瑞金南路458弄 瑞金南苑 520万元 120平米 2003
瑞金南路628弄、瑞金二路5 瑞金尊邸 550万元 124平米 2006
7室2厅，1/3层，128676元/平米，南北向，建筑年代：1936 7室2厅，1/3层，128676元/平米，南北向，建筑年代：1936 7000万元 544平米 null
淮海中路1768弄 霞飞别墅 5500万元 350平米 2000
淮海西路343号 鑫城苑 440万元 109平米 2002
淮海中路1487弄 上海新村 660万元 79平米 1998
淮海中路1500号 鸿艺豪苑 1050万元 157平米 2000
淮海中路1068弄 嘉丽苑 800万元 121平米 1997
淮海中路1258弄 淮海中路1258弄小 680万元 116平米 1990
淮海西路183弄 汇宁花园 1400万元 227平米 2007
淮海中路1850号 武康大楼 1300万元 176平米 1924
淮海中路1706号 潘兴公寓 68万元 12平米 2014
淮海中路1986弄 淮海中路1986弄小 290万元 54平米 1982
淮海中路宛平路 淮海中路洋房 5200万元 360平米 1937
长乐路434弄 长乐路434弄小区 550万元 85平米 1987
长乐路930弄 长乐路930弄小区 202万元 29平米 null
长乐路447弄 长乐路447弄公房 387万元 85平米 1997
桂江路77弄 玉兰园 198万元 65平米 1994
桂江路77弄 花苑村玉兰园 255万元 78平米 1989
古宜路170弄、古宜路180 徐虹公寓 255万元 70平米 1997
古宜路99弄、宜山路436号 宜德苑 470万元 113平米 2005
古宜路170弄、古宜路180 徐虹大楼 405万元 112平米 1997
龙恒路280弄 恒地苑 210万元 57平米 2003
高邮路1号、高邮路3号 兴盛公寓 1100万元 156平米 2001
钦州北路927号 航天公寓 402万元 105平米 2003
钦州北路399弄 金祥苑二期 400万元 91平米 2005
钦州路108号 梓树园 430万元 127平米 1998
钦州南路917弄 杜鹃园 165万元 47平米 1992
钦州路840.860.880 钦州花苑 260万元 87平米 1997
钦州路111弄6号 钦州大厦 255万元 83平米 2004
钦州南路8弄 中海馨园 500万元 122平米 2002
钦州路428弄1-9号 中虹汇之苑 460万元 111平米 2004
钦州北路158弄 长春苑 350万元 85平米 2014
钦州路211号 河滨国际公寓 370万元 76平米 2008
钦州南路300弄 钦州南路300弄小区 130万元 40平米 1994
钦州北路1018弄、苍梧路4 欣嘉苑 288万元 79平米 2005
钦州南路768弄(康健) 紫荆园 680万元 153平米 1999
钦州路760、780、820 钦州公寓 252万元 70平米 1995
钦州北路885弄、钦州北路8 桂林苑 318万元 107平米 1996
钦州路500弄 科华公寓 460万元 112平米 2001
乐山路5弄、乐山支路4弄、8 乐山二村 208万元 48平米 1988
乐山路25弄 乐山大楼 280万元 64平米 1991
乐山路30弄 乐山小区 150万元 40平米 1991
乐山支路21弄 乐山新村 191万元 50平米 1995
乐山路10弄 乐山公寓 275万元 64平米 1990
裕德路92弄1-11号 江南裕德大厦 358万元 77平米 1999
裕德路92弄、文定路221号 泰德花苑 505万元 111平米 2000
裕德路66弄 裕德路66弄小区 320万元 47平米 1994
裕德路45弄 裕德路45弄小区 346万元 89平米 1982
紫荆园钦州南路768弄(康健 紫荆园 280万元 72平米 1998
