临平路333弄	瑞虹新城	398万元	85平米	1998
周家嘴路338号(新建路口)	馨虹苑	435万元	117平米	2003
临平路333弄	瑞虹新城	550万元	128平米	2005
东大名路888号	新外滩花苑	650万元	166平米	2001
凉城路430弄、凉城路450	广中扩大小区	162万元	64平米	1990
临平路133弄	瑞虹新城二期	430万元	92平米	2005
东长治路665弄	和泰玫瑰园	580万元	139平米	2001
水电路1600弄	宝鸿小区	146万元	58平米	1996
临平北路89弄	正润欧洲花园	498万元	138平米	2002
海伦路88弄	浦江名邸	450万元	136平米	2004
海伦路88弄	浦江名邸	488万元	135平米	2004
海伦路88弄	浦江名邸	1100万元	319平米	2004
海伦路88弄	浦江名邸	618万元	173平米	2005
临平路333弄	瑞虹新城	468万元	125平米	2005
天宝路66弄	虹口现代公寓	650万元	161平米	2002
物华路246弄	爱家豪庭	360万元	79平米	2007
东长治路665弄	和泰玫瑰园	580万元	139平米	2001
新港路227号	中信和平家园	680万元	140平米	2010
临平路133弄	瑞虹新城二期	252万元	54平米	2005
海伦路88弄	浦江名邸	490万元	136平米	2004
东大名路888号	新外滩花苑	900万元	175平米	2004
东大名路888号	新外滩花苑	1250万元	288平米	2001
辉河路40弄	林云小区	165万元	56平米	1991
车站北路715弄、车站北路7	文苑小区	151万元	56平米	1996
欧阳路18号	新文苑	500万元	131平米	2000
广纪路171弄(赤峰路轻轨站	香杉园	440万元	89平米	2006
赤峰路404弄、东体育会路6	双东小区	172万元	37平米	1985
甜爱路128弄	晶钻博华苑	423万元	93平米	2005
车站北路177弄	虹口玫瑰苑	343万元	99平米	2001
凉城路585弄、凉城路589	锦苑小区	160万元	58平米	1992
广纪路65弄	合虹公寓	514万元	153平米	2002
海平路18号	白金湾	2450万元	304平米	null
临平路133弄	瑞虹新城二期	550万元	120平米	2005
海伦路88弄	浦江名邸	480万元	135平米	2004
东体育会路657弄	东体育会路657弄小	86万元	33平米	1960
玉田路400弄、玉田路414	东体小区	190万元	60平米	1989
株洲路290号、株洲路258	意和家园	315万元	116平米	2002
凉城路139弄	中虹花园锦绣文华	338万元	96平米	2005
新市南路1129弄、新市南路	新三小区	93万元	30平米	1991
